Category,Crop,Disease,Question,Answer,Keywords
Fertilizer,wheat,karnal bunt,What weather conditions harm wheat and how do I protect my crop?,"Use 60–100 kg N/ha for wheat depending on rainfall and soil. Apply basal NPK (12:32:16 or 15:15:15) at 150–200 kg/ha at sowing, then top-dress urea in 2–3 splits. Include 20–25 kg/ha ZnSO4 where soils are alkaline. For irrigated conditions, split N at vegetative, flowering, and pod/fruit setting. In rainfed areas, use slow-release N and mulch to reduce losses.","agriculture,farming,fertilizer,india,karnal bunt,sandy,wheat"
Disease,maize,downy mildew,What is the best fertilizer dose and schedule for maize in laterite soil?,"Manage downy mildew in maize by removing infected plants, improving drainage, and balanced nutrition. Use copper-based fungicides for bacterial diseases; avoid heavy N. Practice 2–3 year rotations and seed treatment to reduce primary inoculum. Keep records of inputs and yields each season to refine your plan.","agriculture,disease,downy mildew,farming,india,laterite,maize"
Pest,cotton,leaf curl virus,How should I plan crop rotation with cotton to improve soil health?,"In cotton, pests like pink bollworm, American bollworm, whitefly, aphids, jassids cause yield loss. Use sticky traps for whiteflies/aphids. Apply recommended insecticides at correct doses. Maintain field hygiene and remove weed hosts. Keep records of inputs and yields each season to refine your plan.","agriculture,cotton,farming,india,laterite,leaf curl virus,pest"
Irrigation,sugarcane,leaf scald,How do I move towards regenerative agriculture in sugarcane?,"Use 4–6 irrigations for sugarcane depending on soil and rainfall. First irrigation 20–25 days after sowing, then at tillering, flowering, and grain filling. Drip/fertigation saves 30–40% water and improves uniformity. Mulching reduces evaporation. Avoid late heavy irrigation to prevent lodging.","agriculture,black,farming,india,irrigation,leaf scald,sugarcane"
Weather,soybean,bacterial pustule,How does crop insurance work for soybean and how do I claim?,"In soybean, avoid sowing during heatwaves (>38°C). Use early-morning irrigation and mulch to reduce heat stress. For cold waves, ensure adequate soil moisture and avoid late nitrogen. Watch IMD advisories for rainfall and temperature. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bacterial pustule,farming,india,soybean,weather"
Soil,tomato,powdery mildew,What are good intercropping options with tomato to increase income?,"For tomato, aim for soil pH 6.5–7.5. In acidic soils, apply lime (2–5 t/ha) 2–3 months before sowing. In alkaline soils, use gypsum (2–5 t/ha) and sulfur amendments. Build organic carbon (>0.75%) with FYM/compost and green manures. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,india,powdery mildew,soil,tomato"
Government Scheme,potato,bacterial wilt,When and how should I harvest potato to get maximum yield and quality?,"For potato, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bacterial wilt,farming,government_scheme,india,potato"
Harvesting,onion,purple blotch,What carbon farming practices can I adopt in onion fields?,"For onion, harvest at correct stage to maintain quality. Handle gently to avoid bruising. Sort and grade immediately; pack in clean, dry containers. Avoid evening harvest in high humidity to reduce disease. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,harvesting,india,onion,purple blotch"
Marketing,chilli,dieback,"What are the signs of Zn, B, or S deficiency in chilli and how do I correct them?","In chilli, agri-business ideas can access credit via NABARD and agri-clinics schemes. Explore FPO formation, common facility centers, and market linkage programs. Check state horticulture missions for post-harvest support. Keep records of inputs and yields each season to refine your plan.","agriculture,chilli,dieback,farming,india,marketing,sandy"
Organic Farming,brinjal,alternaria leaf spot,How do I implement IPM in brinjal step by step?,"For brinjal, organic yields improve over 2–3 years as soil health builds. Use seed treatment with Trichoderma and biofertilizers. Avoid contamination from conventional inputs and maintain buffer zones. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,brinjal,farming,india,loamy,organic_farming"
Yield Improvement,cabbage,black rot,What is a good NPK plan for cabbage to avoid lodging and disease?,"For cabbage, integrate agronomy and protection: quality seeds, seed treatment, balanced fertilizers, and need-based sprays. Avoid late sowing and water stress during reproductive stages. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,black rot,cabbage,farming,india,yield_improvement"
Seed Selection,cauliflower,powdery mildew,What carbon farming practices can I adopt in cauliflower fields?,"In cauliflower, seed rate varies by method: line sowing needs less seed than broadcasting. Calibrate seed drills for uniform spacing. Avoid old or damaged seeds. Keep records of inputs and yields each season to refine your plan.","agriculture,cauliflower,farming,india,powdery mildew,red,seed_selection"
Storage,okra,root-knot nematode,Which irrigation method saves the most water for okra without reducing yield?,"For okra, ensure produce is dry and clean before storage. Avoid mixing old and new stock. Use neem leaves or botanicals in small stores. Monitor temperature and humidity; aerate if needed. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,loamy,okra,root-knot nematode,storage"
Post-Harvest,groundnut,stem rot,How do I store groundnut grains safely to avoid pests and mold?,"In groundnut, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,groundnut,india,post-harvest,stem rot"
Mechanization,mustard,alternaria leaf spot,What is a good NPK plan for mustard to avoid lodging and disease?,"In mustard, use power tillers or tractors with appropriate implements. Adopt zero-till where feasible to save time and fuel. Train operators on safe handling and maintenance. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,farming,india,mechanization,mustard,red"
Intercropping,sunflower,sclerotinia head rot,What are effective weed control methods for sunflower that are safe and cheap?,"In sunflower, intercropping with aromatic or medicinal plants can add income. Ensure market linkages and proper spacing. Manage water and nutrients for both crops. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,intercropping,laterite,sclerotinia head rot,sunflower"
Crop Rotation,bajra,smut,How do I implement IPM in bajra step by step?,"For bajra, integrate livestock or agroforestry in rotations for diversification. Use manure and compost to recycle nutrients. Monitor soil tests to adjust rotations. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,crop_rotation,farming,india,loamy,smut"
Water Conservation,jowar,anthracnose,How do I set up protected cultivation or greenhouse for jowar?,"In jowar, avoid over-irrigation which leaches nutrients and promotes diseases. Use tensiometers or soil moisture sensors for precise scheduling. Maintain drainage to prevent waterlogging. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,india,jowar,laterite,water_conservation"
Micronutrients,ragi,helminthosporium leaf spot,What weather conditions harm ragi and how do I protect my crop?,Fe deficiency in ragi shows as interveinal chlorosis in young leaves. Apply Fe-EDDHA foliar (0.5%) or chelated Fe with irrigation. Improve drainage and avoid high pH soils. Keep records of inputs and yields each season to refine your plan.,"agriculture,farming,helminthosporium leaf spot,india,loamy,micronutrients,ragi"
